dex_num,key,name,base_species,forme,types,abilities,base_stats,prevo,evolves_to,evo_type,evo_level,evo_item,evo_condition,form_flags,required_item,required_move,required_ability,battle_only,changes_from,has_learnset_entry,levelup_move_count_runtime,wild_moves_lvl50,generate_pokemon_lvl50,generate_error,catch_info_runtime_exact,catch_info_data_exists,gain_info_runtime_exact,gain_info_data_exists,ability_entity_metadata_linked,missing_categories,notes
25,Pikachualola,Pikachu-Alola,Pikachu,Alola,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Alola,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
25,Pikachubelle,Pikachu-Belle,Pikachu,Belle,Electric,Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Belle|changesFrom,,,,,Pikachu-Cosplay,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified,
25,Pikachucosplay,Pikachu-Cosplay,Pikachu,Cosplay,Electric,Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Cosplay,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
25,Pikachugmax,Pikachu-Gmax,Pikachu,Gmax,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Gmax|changesFrom,,,,,Pikachu,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified; gigantamax_runtime_selection_missing,
25,Pikachuhoenn,Pikachu-Hoenn,Pikachu,Hoenn,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Hoenn,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
25,Pikachukalos,Pikachu-Kalos,Pikachu,Kalos,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Kalos,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
25,Pikachulibre,Pikachu-Libre,Pikachu,Libre,Electric,Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Libre|changesFrom,,,,,Pikachu-Cosplay,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified,
25,Pikachuoriginal,Pikachu-Original,Pikachu,Original,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Original,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
25,Pikachupartner,Pikachu-Partner,Pikachu,Partner,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Partner,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
25,Pikachuphd,Pikachu-PhD,Pikachu,PhD,Electric,Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=PhD|changesFrom,,,,,Pikachu-Cosplay,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified,
25,Pikachupopstar,Pikachu-Pop-Star,Pikachu,Pop-Star,Electric,Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Pop-Star|changesFrom,,,,,Pikachu-Cosplay,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified,
25,Pikachurockstar,Pikachu-Rock-Star,Pikachu,Rock-Star,Electric,Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Rock-Star|changesFrom,,,,,Pikachu-Cosplay,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified,
25,Pikachusinnoh,Pikachu-Sinnoh,Pikachu,Sinnoh,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Sinnoh,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
25,Pikachustarter,Pikachu-Starter,Pikachu,Starter,Electric,Static|Lightning Rod,hp=45/atk=80/def=50/spa=75/spd=60/spe=120,,,,,,,baseSpecies|forme=Starter,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
25,Pikachuunova,Pikachu-Unova,Pikachu,Unova,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=Unova,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
25,Pikachuworld,Pikachu-World,Pikachu,World,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,,,,,,,baseSpecies|forme=World,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
26,Raichu,Raichu,,,Electric,Static|Lightning Rod,hp=60/atk=90/def=55/spa=90/spd=80/spe=110,Pikachu,,useItem,,Thunder Stone,,,,,,,,True,22,thunderbolt|discharge|electroball|nuzzle,True,,True,True,True,True,False,,
26,Raichualola,Raichu-Alola,Raichu,Alola,Electric/Psychic,Surge Surfer,hp=60/atk=85/def=50/spa=95/spd=85/spe=110,Pikachu,,useItem,,Thunder Stone,,baseSpecies|forme=Alola,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
27,Sandshrew,Sandshrew,,,Ground,Sand Veil|Sand Rush,hp=50/atk=75/def=85/spa=20/spd=30/spe=40,,Sandslash,,,,,,,,,,,True,19,earthquake|sandtomb|dig|bulldoze,True,,True,True,True,True,False,,
27,Sandshrewalola,Sandshrew-Alola,Sandshrew,Alola,Ice/Steel,Snow Cloak|Slush Rush,hp=50/atk=75/def=90/spa=10/spd=35/spe=40,,Sandslash-Alola,,,,,baseSpecies|forme=Alola,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing; evolution_target_not_resolved_by_current_lookup:Sandslash-Alola,Sandslash-Alola: current evolution lookup cannot resolve canonical/form name
28,Sandslash,Sandslash,,,Ground,Sand Veil|Sand Rush,hp=75/atk=100/def=110/spa=45/spd=55/spe=65,Sandshrew,,,22,,,,,,,,,True,19,earthquake|dig|sandtomb|bulldoze,True,,True,True,True,True,False,,
28,Sandslashalola,Sandslash-Alola,Sandslash,Alola,Ice/Steel,Snow Cloak|Slush Rush,hp=75/atk=100/def=120/spa=25/spd=65/spe=65,Sandshrew-Alola,,useItem,,Ice Stone,,baseSpecies|forme=Alola,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
29,Nidoranf,Nidoran-F,,,Poison,Poison Point|Rivalry|Hustle,hp=55/atk=47/def=52/spa=40/spd=40/spe=41,,Nidorina,,,,,,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
30,Nidorina,Nidorina,,,Poison,Poison Point|Rivalry|Hustle,hp=70/atk=62/def=67/spa=55/spd=55/spe=56,Nidoran-F,Nidoqueen,,16,,,,,,,,,True,15,toxic|toxicspikes|poisonsting|captivate,True,,True,True,True,True,False,,
31,Nidoqueen,Nidoqueen,,,Poison/Ground,Poison Point|Rivalry|Sheer Force,hp=90/atk=92/def=87/spa=75/spd=85/spe=76,Nidorina,,useItem,,Moon Stone,,,,,,,,True,16,earthpower|poisonsting|toxic|toxicspikes,True,,True,True,True,True,False,,
32,Nidoranm,Nidoran-M,,,Poison,Poison Point|Rivalry|Hustle,hp=46/atk=57/def=40/spa=40/spd=40/spe=50,,Nidorino,,,,,,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
33,Nidorino,Nidorino,,,Poison,Poison Point|Rivalry|Hustle,hp=61/atk=72/def=57/spa=55/spd=55/spe=65,Nidoran-M,Nidoking,,16,,,,,,,,,True,15,toxic|poisonjab|toxicspikes|poisonsting,True,,True,True,True,True,False,,
34,Nidoking,Nidoking,,,Poison/Ground,Poison Point|Rivalry|Sheer Force,hp=81/atk=102/def=77/spa=85/spd=75/spe=85,Nidorino,,useItem,,Moon Stone,,,,,,,,True,16,earthpower|poisonjab|poisonsting|toxic,True,,True,True,True,True,False,,
35,Clefairy,Clefairy,,,Fairy,Cute Charm|Magic Guard|Friend Guard,hp=70/atk=45/def=48/spa=60/spd=65/spe=35,Cleffa,Clefable,levelFriendship,,,,,,,,,,True,29,moonblast|moonlight|charm|disarmingvoice,True,,True,True,True,True,False,,
36,Clefable,Clefable,,,Fairy,Cute Charm|Magic Guard|Unaware,hp=95/atk=70/def=73/spa=95/spd=90/spe=60,Clefairy,,useItem,,Moon Stone,,,,,,,,True,24,charm|disarmingvoice|moonblast|moonlight,True,,True,True,True,True,False,,
37,Vulpix,Vulpix,,,Fire,Flash Fire|Drought,hp=38/atk=41/def=40/spa=50/spd=65/spe=65,,Ninetales,,,,,,,,,,,True,23,inferno|fireblast|firespin|flamethrower,True,,True,True,True,True,False,,
37,Vulpixalola,Vulpix-Alola,Vulpix,Alola,Ice,Snow Cloak|Snow Warning,hp=38/atk=41/def=40/spa=50/spd=65/spe=65,,Ninetales-Alola,,,,,baseSpecies|forme=Alola,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing; evolution_target_not_resolved_by_current_lookup:Ninetales-Alola,Ninetales-Alola: current evolution lookup cannot resolve canonical/form name
38,Ninetales,Ninetales,,,Fire,Flash Fire|Drought,hp=73/atk=76/def=75/spa=81/spd=100/spe=100,Vulpix,,useItem,,Fire Stone,,,,,,,,True,17,firespin|ember|fireblast|flamethrower,True,,True,True,True,True,False,,
38,Ninetalesalola,Ninetales-Alola,Ninetales,Alola,Ice/Fairy,Snow Cloak|Snow Warning,hp=73/atk=67/def=75/spa=81/spd=100/spe=109,Vulpix-Alola,,useItem,,Ice Stone,,baseSpecies|forme=Alola,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
39,Jigglypuff,Jigglypuff,,,Normal/Fairy,Cute Charm|Competitive|Friend Guard,hp=115/atk=45/def=20/spa=45/spd=25/spe=20,Igglybuff,Wigglytuff,levelFriendship,,,,,,,,,,True,25,hypervoice|doubleedge|mimic|playrough,True,,True,True,True,True,False,,
40,Wigglytuff,Wigglytuff,,,Normal/Fairy,Cute Charm|Competitive|Frisk,hp=140/atk=70/def=45/spa=85/spd=50/spe=45,Jigglypuff,,useItem,,Moon Stone,,,,,,,,True,22,playrough|bodyslam|charm|copycat,True,,True,True,True,True,False,,
41,Zubat,Zubat,,,Poison/Flying,Inner Focus|Infiltrator,hp=40/atk=45/def=35/spa=30/spd=40/spe=55,,Golbat,,,,,,,,,,,True,16,airslash|poisonfang|venoshock|aircutter,True,,True,True,True,True,False,,
42,Golbat,Golbat,,,Poison/Flying,Inner Focus|Infiltrator,hp=75/atk=80/def=70/spa=65/spd=75/spe=90,Zubat,Crobat,,22,,,,,,,,,True,17,poisonfang|venoshock|airslash|aircutter,True,,True,True,True,True,False,evolution_levelFriendship_not_supported:Crobat,Crobat: levelFriendship not supported
43,Oddish,Oddish,,,Grass/Poison,Chlorophyll|Run Away,hp=45/atk=50/def=55/spa=75/spd=65/spe=30,,Gloom,,,,,,,,,,,True,16,grassyterrain|petaldance|gigadrain|toxic,True,,True,True,True,True,False,,
44,Gloom,Gloom,,,Grass/Poison,Chlorophyll|Stench,hp=60/atk=65/def=70/spa=85/spd=75/spe=40,Oddish,Vileplume|Bellossom,,21,,,,,,,,,True,17,petaldance|petalblizzard|gigadrain|toxic,True,,True,True,True,True,False,evolution_branching_selection_partial,branching evolution selection is only partial
