dex_key,name,num,type,category,base_power,accuracy,pp,priority,target,flags,coverage_status,mechanics,contract_count,contracts,callbacks,is_nonstandard
Armorcannon,Armor Cannon,890,Fire,Special,120,100,5,0,normal,mirror; protect,mechanic_contract,damage; stat_boost,0,,,
armthrust,Arm Thrust,292,Fighting,Physical,15,100,20,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage,0,,,
Armthrust,Arm Thrust,292,Fighting,Physical,15,100,20,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage,0,,,
aromatherapy,Aromatherapy,312,Grass,Status,0,True,5,0,allyTeam,distance; metronome; snatch,explicit_contract,callback_behavior,1,aromatherapy cures the user's party status,onHit=Aromatherapy.onHit,Past
Aromatherapy,Aromatherapy,312,Grass,Status,0,True,5,0,allyTeam,distance; metronome; snatch,explicit_contract,callback_behavior,1,aromatherapy cures the user's party status,onHit=Aromatherapy.onHit,Past
aromaticmist,Aromatic Mist,597,Fairy,Status,0,True,20,0,adjacentAlly,bypasssub; metronome,mechanic_contract,stat_boost,0,,,
Aromaticmist,Aromatic Mist,597,Fairy,Status,0,True,20,0,adjacentAlly,bypasssub; metronome,mechanic_contract,stat_boost,0,,,
assist,Assist,274,Normal,Status,0,True,20,0,self,failcopycat; failencore; failinstruct; failmimic; noassist; nosleeptalk,explicit_contract,callback_behavior,1,assist calls a party member move,onHit=Assist.onHit,Past
Assist,Assist,274,Normal,Status,0,True,20,0,self,failcopycat; failencore; failinstruct; failmimic; noassist; nosleeptalk,explicit_contract,callback_behavior,1,assist calls a party member move,onHit=Assist.onHit,Past
assurance,Assurance,372,Dark,Physical,60,100,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage; damage,0,,basePowerCallback=Assurance.basePowerCallback,
Assurance,Assurance,372,Dark,Physical,60,100,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage; damage,0,,basePowerCallback=Assurance.basePowerCallback,
astonish,Astonish,310,Ghost,Physical,30,100,15,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; volatile,0,,,
Astonish,Astonish,310,Ghost,Physical,30,100,15,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; volatile,0,,,
astralbarrage,Astral Barrage,825,Ghost,Special,120,100,5,0,allAdjacentFoes,mirror; protect,mechanic_contract,damage,0,,,
Astralbarrage,Astral Barrage,825,Ghost,Special,120,100,5,0,allAdjacentFoes,mirror; protect,mechanic_contract,damage,0,,,
attackorder,Attack Order,454,Bug,Physical,90,100,15,0,normal,metronome; mirror; protect,mechanic_contract,damage,0,,,
Attackorder,Attack Order,454,Bug,Physical,90,100,15,0,normal,metronome; mirror; protect,mechanic_contract,damage,0,,,
attract,Attract,213,Normal,Status,0,100,15,0,normal,bypasssub; metronome; mirror; protect; reflectable,mechanic_contract,callback_behavior; volatile,0,,,
Attract,Attract,213,Normal,Status,0,100,15,0,normal,bypasssub; metronome; mirror; protect; reflectable,mechanic_contract,callback_behavior; volatile,0,,,
aurasphere,Aura Sphere,396,Fighting,Special,80,True,20,0,any,bullet; distance; metronome; mirror; protect; pulse,mechanic_contract,damage,0,,,
Aurasphere,Aura Sphere,396,Fighting,Special,80,True,20,0,any,bullet; distance; metronome; mirror; protect; pulse,mechanic_contract,damage,0,,,
aurawheel,Aura Wheel,783,Electric,Physical,110,100,10,0,normal,mirror; protect,mechanic_contract,callback_behavior; damage; secondary_effect,0,,onModifyType=Aurawheel.onModifyType; onTry=Aurawheel.onTry,
Aurawheel,Aura Wheel,783,Electric,Physical,110,100,10,0,normal,mirror; protect,mechanic_contract,callback_behavior; damage; secondary_effect,0,,onModifyType=Aurawheel.onModifyType; onTry=Aurawheel.onTry,
aurorabeam,Aurora Beam,62,Ice,Special,65,100,20,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; stat_boost,0,,,
Aurorabeam,Aurora Beam,62,Ice,Special,65,100,20,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; stat_boost,0,,,
auroraveil,Aurora Veil,694,Ice,Status,0,True,20,0,allySide,metronome; snatch,mechanic_contract,callback_behavior; side_condition,0,,onTry=Auroraveil.onTry,
Auroraveil,Aurora Veil,694,Ice,Status,0,True,20,0,allySide,metronome; snatch,mechanic_contract,callback_behavior; side_condition,0,,onTry=Auroraveil.onTry,
autotomize,Autotomize,475,Steel,Status,0,True,15,0,self,metronome; snatch,mechanic_contract,callback_behavior; stat_boost,0,,onHit=Autotomize.onHit; onTryHit=Autotomize.onTryHit,Past
Autotomize,Autotomize,475,Steel,Status,0,True,15,0,self,metronome; snatch,mechanic_contract,callback_behavior; stat_boost,0,,onHit=Autotomize.onHit; onTryHit=Autotomize.onTryHit,Past
avalanche,Avalanche,419,Ice,Physical,60,100,10,-4,normal,contact; metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage; damage; priority,0,,basePowerCallback=Avalanche.basePowerCallback,
Avalanche,Avalanche,419,Ice,Physical,60,100,10,-4,normal,contact; metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage; damage; priority,0,,basePowerCallback=Avalanche.basePowerCallback,
axekick,Axe Kick,853,Fighting,Physical,120,90,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,callback_behavior; damage; random_branch; secondary_effect; volatile,0,,,
Axekick,Axe Kick,853,Fighting,Physical,120,90,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,callback_behavior; damage; random_branch; secondary_effect; volatile,0,,,
babydolleyes,Baby-Doll Eyes,608,Fairy,Status,0,100,30,1,normal,allyanim; metronome; mirror; protect; reflectable,mechanic_contract,priority; stat_boost,0,,,
Babydolleyes,Baby-Doll Eyes,608,Fairy,Status,0,100,30,1,normal,allyanim; metronome; mirror; protect; reflectable,mechanic_contract,priority; stat_boost,0,,,
baddybad,Baddy Bad,737,Dark,Special,80,95,15,0,normal,mirror; protect,mechanic_contract,damage; random_branch,0,,,LGPE
Baddybad,Baddy Bad,737,Dark,Special,80,95,15,0,normal,mirror; protect,mechanic_contract,damage; random_branch,0,,,LGPE
banefulbunker,Baneful Bunker,661,Poison,Status,0,True,10,4,self,failcopycat; noassist,mechanic_contract,callback_behavior; priority; volatile,0,,onHit=Banefulbunker.onHit; onPrepareHit=Banefulbunker.onPrepareHit,
Banefulbunker,Baneful Bunker,661,Poison,Status,0,True,10,4,self,failcopycat; noassist,mechanic_contract,callback_behavior; priority; volatile,0,,onHit=Banefulbunker.onHit; onPrepareHit=Banefulbunker.onPrepareHit,
barbbarrage,Barb Barrage,839,Poison,Physical,60,100,10,0,normal,metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage; damage; random_branch; secondary_effect; status_outcome,0,,onBasePower=Barbbarrage.onBasePower,
Barbbarrage,Barb Barrage,839,Poison,Physical,60,100,10,0,normal,metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage; damage; random_branch; secondary_effect; status_outcome,0,,onBasePower=Barbbarrage.onBasePower,
barrage,Barrage,140,Normal,Physical,15,85,20,0,normal,bullet; metronome; mirror; protect,mechanic_contract,damage; random_branch,0,,,Past
Barrage,Barrage,140,Normal,Physical,15,85,20,0,normal,bullet; metronome; mirror; protect,mechanic_contract,damage; random_branch,0,,,Past
barrier,Barrier,112,Psychic,Status,0,True,20,0,self,metronome; snatch,mechanic_contract,stat_boost,0,,,Past
Barrier,Barrier,112,Psychic,Status,0,True,20,0,self,metronome; snatch,mechanic_contract,stat_boost,0,,,Past
batonpass,Baton Pass,226,Normal,Status,0,True,40,0,self,metronome,mechanic_contract,callback_behavior; self_switch,0,,onHit=Batonpass.onHit,
Batonpass,Baton Pass,226,Normal,Status,0,True,40,0,self,metronome,mechanic_contract,callback_behavior; self_switch,0,,onHit=Batonpass.onHit,
beakblast,Beak Blast,690,Flying,Physical,100,100,15,-3,normal,bullet; failcopycat; failinstruct; failmefirst; noassist; nosleeptalk; protect,mechanic_contract,callback_behavior; damage; priority,0,,onAfterMove=Beakblast.onAfterMove,
Beakblast,Beak Blast,690,Flying,Physical,100,100,15,-3,normal,bullet; failcopycat; failinstruct; failmefirst; noassist; nosleeptalk; protect,mechanic_contract,callback_behavior; damage; priority,0,,onAfterMove=Beakblast.onAfterMove,
beatup,Beat Up,251,Dark,Physical,0,100,10,0,normal,allyanim; metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage,0,,basePowerCallback=Beatup.basePowerCallback; onModifyMove=Beatup.onModifyMove,
Beatup,Beat Up,251,Dark,Physical,0,100,10,0,normal,allyanim; metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage,0,,basePowerCallback=Beatup.basePowerCallback; onModifyMove=Beatup.onModifyMove,
behemothbash,Behemoth Bash,782,Steel,Physical,100,100,5,0,normal,contact; failcopycat; failmimic; mirror; protect,mechanic_contract,damage,0,,,
Behemothbash,Behemoth Bash,782,Steel,Physical,100,100,5,0,normal,contact; failcopycat; failmimic; mirror; protect,mechanic_contract,damage,0,,,
behemothblade,Behemoth Blade,781,Steel,Physical,100,100,5,0,normal,contact; failcopycat; failmimic; mirror; protect; slicing,mechanic_contract,damage,0,,,
Behemothblade,Behemoth Blade,781,Steel,Physical,100,100,5,0,normal,contact; failcopycat; failmimic; mirror; protect; slicing,mechanic_contract,damage,0,,,
belch,Belch,562,Poison,Special,120,90,10,0,normal,failcopycat; failinstruct; failmefirst; failmimic; noassist; nosleeptalk; protect,mechanic_contract,callback_behavior; damage; random_branch,0,,,
Belch,Belch,562,Poison,Special,120,90,10,0,normal,failcopycat; failinstruct; failmefirst; failmimic; noassist; nosleeptalk; protect,mechanic_contract,callback_behavior; damage; random_branch,0,,,
bellydrum,Belly Drum,187,Normal,Status,0,True,10,0,self,metronome; snatch,explicit_contract,callback_behavior,1,belly drum halves HP and maximizes attack,onHit=Bellydrum.onHit,
Bellydrum,Belly Drum,187,Normal,Status,0,True,10,0,self,metronome; snatch,explicit_contract,callback_behavior,1,belly drum halves HP and maximizes attack,onHit=Bellydrum.onHit,
bestow,Bestow,516,Normal,Status,0,True,15,0,normal,allyanim; bypasssub; failcopycat; mirror; noassist,explicit_contract,callback_behavior,1,bestow transfers the user's item to the target,onHit=Bestow.onHit,Past
Bestow,Bestow,516,Normal,Status,0,True,15,0,normal,allyanim; bypasssub; failcopycat; mirror; noassist,explicit_contract,callback_behavior,1,bestow transfers the user's item to the target,onHit=Bestow.onHit,Past
bide,Bide,117,Normal,Physical,0,True,10,1,self,contact; failinstruct; metronome; nosleeptalk; protect,mechanic_contract,callback_behavior; priority; volatile,0,,,Past
Bide,Bide,117,Normal,Physical,0,True,10,1,self,contact; failinstruct; metronome; nosleeptalk; protect,mechanic_contract,callback_behavior; priority; volatile,0,,,Past
bind,Bind,20,Normal,Physical,15,85,20,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; volatile,0,,,
Bind,Bind,20,Normal,Physical,15,85,20,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; volatile,0,,,
bite,Bite,44,Dark,Physical,60,100,25,0,normal,bite; contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; volatile,0,,,
Bite,Bite,44,Dark,Physical,60,100,25,0,normal,bite; contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; volatile,0,,,
bitterblade,Bitter Blade,891,Fire,Physical,90,100,10,0,normal,contact; heal; metronome; mirror; protect; slicing,mechanic_contract,damage; drain,0,,,
Bitterblade,Bitter Blade,891,Fire,Physical,90,100,10,0,normal,contact; heal; metronome; mirror; protect; slicing,mechanic_contract,damage; drain,0,,,
bittermalice,Bitter Malice,841,Ghost,Special,75,100,10,0,normal,metronome; mirror; protect,mechanic_contract,damage; secondary_effect; stat_boost,0,,,
Bittermalice,Bitter Malice,841,Ghost,Special,75,100,10,0,normal,metronome; mirror; protect,mechanic_contract,damage; secondary_effect; stat_boost,0,,,
blackholeeclipse,Black Hole Eclipse,654,Dark,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
Blackholeeclipse,Black Hole Eclipse,654,Dark,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
blastburn,Blast Burn,307,Fire,Special,150,90,5,0,normal,metronome; mirror; protect; recharge,mechanic_contract,damage; random_branch; volatile,0,,,
Blastburn,Blast Burn,307,Fire,Special,150,90,5,0,normal,metronome; mirror; protect; recharge,mechanic_contract,damage; random_branch; volatile,0,,,
blazekick,Blaze Kick,299,Fire,Physical,85,90,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,
Blazekick,Blaze Kick,299,Fire,Physical,85,90,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,
blazingtorque,Blazing Torque,896,Fire,Physical,80,100,10,0,normal,failcopycat; failencore; failinstruct; failmefirst; failmimic; noassist; nosleeptalk; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,Unobtainable
Blazingtorque,Blazing Torque,896,Fire,Physical,80,100,10,0,normal,failcopycat; failencore; failinstruct; failmefirst; failmimic; noassist; nosleeptalk; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,Unobtainable
bleakwindstorm,Bleakwind Storm,846,Flying,Special,100,80,10,0,allAdjacentFoes,metronome; mirror; protect; wind,mechanic_contract,callback_behavior; damage; random_branch; secondary_effect; stat_boost,0,,onModifyMove=Bleakwindstorm.onModifyMove,
Bleakwindstorm,Bleakwind Storm,846,Flying,Special,100,80,10,0,allAdjacentFoes,metronome; mirror; protect; wind,mechanic_contract,callback_behavior; damage; random_branch; secondary_effect; stat_boost,0,,onModifyMove=Bleakwindstorm.onModifyMove,
blizzard,Blizzard,59,Ice,Special,110,70,5,0,allAdjacentFoes,metronome; mirror; protect; wind,mechanic_contract,callback_behavior; damage; random_branch; secondary_effect; status_outcome,0,,onModifyMove=Blizzard.onModifyMove,
Blizzard,Blizzard,59,Ice,Special,110,70,5,0,allAdjacentFoes,metronome; mirror; protect; wind,mechanic_contract,callback_behavior; damage; random_branch; secondary_effect; status_outcome,0,,onModifyMove=Blizzard.onModifyMove,
block,Block,335,Normal,Status,0,True,5,0,normal,metronome; mirror; reflectable,explicit_contract,callback_behavior,1,block traps the target,onHit=Block.onHit,
Block,Block,335,Normal,Status,0,True,5,0,normal,metronome; mirror; reflectable,explicit_contract,callback_behavior,1,block traps the target,onHit=Block.onHit,
bloodmoon,Blood Moon,901,Normal,Special,140,100,5,0,normal,cantusetwice; metronome; mirror; protect,mechanic_contract,damage,0,,,
Bloodmoon,Blood Moon,901,Normal,Special,140,100,5,0,normal,cantusetwice; metronome; mirror; protect,mechanic_contract,damage,0,,,
bloomdoom,Bloom Doom,644,Grass,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
Bloomdoom,Bloom Doom,644,Grass,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
blueflare,Blue Flare,551,Fire,Special,130,85,5,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,
Blueflare,Blue Flare,551,Fire,Special,130,85,5,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,
bodypress,Body Press,776,Fighting,Physical,80,100,10,0,normal,contact; mirror; protect,mechanic_contract,damage,0,,,
Bodypress,Body Press,776,Fighting,Physical,80,100,10,0,normal,contact; mirror; protect,mechanic_contract,damage,0,,,
bodyslam,Body Slam,34,Normal,Physical,85,100,15,0,normal,contact; metronome; mirror; nonsky; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,
Bodyslam,Body Slam,34,Normal,Physical,85,100,15,0,normal,contact; metronome; mirror; nonsky; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,
boltbeak,Bolt Beak,754,Electric,Physical,85,100,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage; damage,0,,basePowerCallback=Boltbeak.basePowerCallback,Past
Boltbeak,Bolt Beak,754,Electric,Physical,85,100,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,callback_behavior; callback_damage; damage,0,,basePowerCallback=Boltbeak.basePowerCallback,Past
boltstrike,Bolt Strike,550,Electric,Physical,130,85,5,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,
Boltstrike,Bolt Strike,550,Electric,Physical,130,85,5,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; status_outcome,0,,,
boneclub,Bone Club,125,Ground,Physical,65,85,20,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; volatile,0,,,Past
Boneclub,Bone Club,125,Ground,Physical,65,85,20,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; volatile,0,,,Past
bonemerang,Bonemerang,155,Ground,Physical,50,90,10,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch,0,,,Past
Bonemerang,Bonemerang,155,Ground,Physical,50,90,10,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch,0,,,Past
bonerush,Bone Rush,198,Ground,Physical,25,90,10,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch,0,,,
Bonerush,Bone Rush,198,Ground,Physical,25,90,10,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch,0,,,
boomburst,Boomburst,586,Normal,Special,140,100,10,0,allAdjacent,bypasssub; metronome; mirror; protect; sound,mechanic_contract,damage,0,,,
Boomburst,Boomburst,586,Normal,Special,140,100,10,0,allAdjacent,bypasssub; metronome; mirror; protect; sound,mechanic_contract,damage,0,,,
bounce,Bounce,340,Flying,Physical,85,85,5,0,any,charge; contact; distance; failinstruct; gravity; metronome; mirror; noassist; nosleeptalk; protect,mechanic_contract,callback_behavior; damage; random_branch; secondary_effect; status_outcome,0,,onTryMove=Bounce.onTryMove,
Bounce,Bounce,340,Flying,Physical,85,85,5,0,any,charge; contact; distance; failinstruct; gravity; metronome; mirror; noassist; nosleeptalk; protect,mechanic_contract,callback_behavior; damage; random_branch; secondary_effect; status_outcome,0,,onTryMove=Bounce.onTryMove,
bouncybubble,Bouncy Bubble,733,Water,Special,60,100,20,0,normal,heal; mirror; protect,mechanic_contract,damage; drain,0,,,LGPE
Bouncybubble,Bouncy Bubble,733,Water,Special,60,100,20,0,normal,heal; mirror; protect,mechanic_contract,damage; drain,0,,,LGPE
branchpoke,Branch Poke,785,Grass,Physical,40,100,40,0,normal,contact; mirror; protect,mechanic_contract,damage,0,,,
Branchpoke,Branch Poke,785,Grass,Physical,40,100,40,0,normal,contact; mirror; protect,mechanic_contract,damage,0,,,
bravebird,Brave Bird,413,Flying,Physical,120,100,15,0,any,contact; distance; metronome; mirror; protect,mechanic_contract,damage; recoil,0,,,
Bravebird,Brave Bird,413,Flying,Physical,120,100,15,0,any,contact; distance; metronome; mirror; protect,mechanic_contract,damage; recoil,0,,,
breakingswipe,Breaking Swipe,784,Dragon,Physical,60,100,15,0,allAdjacentFoes,contact; mirror; protect,mechanic_contract,damage; secondary_effect; stat_boost,0,,,
Breakingswipe,Breaking Swipe,784,Dragon,Physical,60,100,15,0,allAdjacentFoes,contact; mirror; protect,mechanic_contract,damage; secondary_effect; stat_boost,0,,,
breakneckblitz,Breakneck Blitz,622,Normal,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
Breakneckblitz,Breakneck Blitz,622,Normal,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
